trade_date,Ticker,Sct,Return
2019-02-28,600036.SH,金融行业,0.086395
2019-01-31,600036.SH,金融行业,0.150656
2018-12-28,600036.SH,金融行业,-0.121925
2018-11-30,600036.SH,金融行业,-0.009397
2018-10-31,600036.SH,金融行业,-0.052581
2018-09-28,600036.SH,金融行业,0.085857
2018-08-31,600036.SH,金融行业,-0.000172
2018-07-31,600036.SH,金融行业,0.108427
2018-06-29,600036.SH,金融行业,-0.082200
2018-05-31,600036.SH,金融行业,-0.016600
2018-04-27,600036.SH,金融行业,0.011600
2018-03-30,600036.SH,金融行业,-0.038400
2018-02-28,600036.SH,金融行业,-0.109100
2018-01-31,600036.SH,金融行业,0.160000
2017-12-29,600036.SH,金融行业,0.004000
2017-11-30,600036.SH,金融行业,0.071100
2017-10-31,600036.SH,金融行业,0.061900
2017-09-29,600036.SH,金融行业,-0.044700
2017-08-31,600036.SH,金融行业,0.048600
2017-07-31,600036.SH,金融行业,0.071500
2017-06-30,600036.SH,金融行业,0.103400
2017-05-31,600036.SH,金融行业,0.163300
2017-04-28,600036.SH,金融行业,-0.001400
2017-03-31,600036.SH,金融行业,-0.013300
2017-02-28,600036.SH,金融行业,0.023400
2017-01-26,600036.SH,金融行业,0.077400
2016-12-30,600036.SH,金融行业,-0.051400
2016-11-30,600036.SH,金融行业,0.038700
2016-10-31,600036.SH,金融行业,-0.007000
2016-09-30,600036.SH,金融行业,-0.033600
2016-08-31,600036.SH,金融行业,0.083600
2016-07-29,600036.SH,金融行业,0.020700
2016-06-30,600036.SH,金融行业,-0.027400
2016-05-31,600036.SH,金融行业,0.015400
2016-04-29,600036.SH,金融行业,0.099500
2016-03-31,600036.SH,金融行业,0.103400
2016-02-29,600036.SH,金融行业,-0.027300
2016-01-29,600036.SH,金融行业,-0.178000
2015-12-31,600036.SH,金融行业,0.048700
2015-11-30,600036.SH,金融行业,-0.039900
2015-10-30,600036.SH,金融行业,0.010500
2015-09-30,600036.SH,金融行业,0.046600
2015-08-31,600036.SH,金融行业,0.001900
2015-07-31,600036.SH,金融行业,-0.026900
2015-06-30,600036.SH,金融行业,0.048000
2015-05-29,600036.SH,金融行业,-0.002600
2015-04-30,600036.SH,金融行业,0.166000
2015-03-31,600036.SH,金融行业,0.062100
2015-02-27,600036.SH,金融行业,0.026300
2015-01-30,600036.SH,金融行业,-0.137300
2014-12-31,600036.SH,金融行业,0.330200
2014-11-28,600036.SH,金融行业,0.121400
2014-10-31,600036.SH,金融行业,0.039500
2014-09-30,600036.SH,金融行业,-0.015600
2014-08-29,600036.SH,金融行业,-0.045600
2014-07-31,600036.SH,金融行业,0.142200
2014-06-30,600036.SH,金融行业,0.009600
2014-05-30,600036.SH,金融行业,0.012300
2014-04-30,600036.SH,金融行业,0.022700
2014-03-31,600036.SH,金融行业,-0.009700
2014-02-28,600036.SH,金融行业,-0.041600
2019-02-28,600048.SH,房地产,0.030204
2019-01-31,600048.SH,房地产,0.090951
2018-12-28,600048.SH,房地产,-0.101944
2018-11-30,600048.SH,房地产,0.043559
2018-10-31,600048.SH,房地产,0.044826
2018-09-28,600048.SH,房地产,-0.002392
2018-08-31,600048.SH,房地产,0.024293
2018-07-31,600048.SH,房地产,0.005781
2018-06-29,600048.SH,房地产,0.029500
2018-05-31,600048.SH,房地产,-0.058300
2018-04-27,600048.SH,房地产,-0.019200
2018-03-30,600048.SH,房地产,-0.077100
2018-02-28,600048.SH,房地产,-0.148300
2018-01-31,600048.SH,房地产,0.205900
2017-12-29,600048.SH,房地产,0.122500
2017-11-30,600048.SH,房地产,0.155200
2017-10-31,600048.SH,房地产,0.047200
2017-09-29,600048.SH,房地产,0.015500
2017-08-31,600048.SH,房地产,-0.017200
2017-07-31,600048.SH,房地产,0.057200
2017-06-30,600048.SH,房地产,0.062100
2017-05-31,600048.SH,房地产,0.029300
2017-04-28,600048.SH,房地产,-0.010800
2017-03-31,600048.SH,房地产,0.008400
2017-02-28,600048.SH,房地产,0.028000
2017-01-26,600048.SH,房地产,0.010200
2016-12-30,600048.SH,房地产,-0.073100
2016-11-30,600048.SH,房地产,0.077600
2016-10-31,600048.SH,房地产,-0.047300
2016-09-30,600048.SH,房地产,-0.017900
2016-08-31,600048.SH,房地产,0.093700
2016-07-29,600048.SH,房地产,0.042600
2016-06-30,600048.SH,房地产,0.018300
2016-05-31,600048.SH,房地产,-0.012400
2016-04-29,600048.SH,房地产,-0.035000
2016-03-31,600048.SH,房地产,0.031100
2016-02-29,600048.SH,房地产,0.047700
2016-01-29,600048.SH,房地产,-0.174800
2015-12-31,600048.SH,房地产,0.126100
2015-11-30,600048.SH,房地产,0.102900
2015-10-30,600048.SH,房地产,0.091400
2015-09-30,600048.SH,房地产,-0.040700
2015-08-31,600048.SH,房地产,-0.065100
2015-07-31,600048.SH,房地产,-0.181100
2015-06-30,600048.SH,房地产,-0.024700
2015-05-29,600048.SH,房地产,-0.201000
2015-04-30,600048.SH,房地产,0.280300
2015-03-31,600048.SH,房地产,0.133000
2015-02-27,600048.SH,房地产,-0.022700
2015-01-30,600048.SH,房地产,-0.010700
2014-12-31,600048.SH,房地产,0.433500
2014-11-28,600048.SH,房地产,0.230500
2014-10-31,600048.SH,房地产,0.041500
2014-09-30,600048.SH,房地产,-0.020200
2014-08-29,600048.SH,房地产,-0.056600
2014-07-31,600048.SH,房地产,0.199400
2014-06-30,600048.SH,房地产,-0.009500
2014-05-30,600048.SH,房地产,0.028700
2014-04-30,600048.SH,房地产,0.009300
2014-03-31,600048.SH,房地产,0.129000
2014-02-28,600048.SH,房地产,-0.135400
2019-02-28,600066.SH,汽车制造,0.204687
2019-01-31,600066.SH,汽车制造,-0.022374
2018-12-28,600066.SH,汽车制造,0.054178
2018-11-30,600066.SH,汽车制造,0.058693
2018-10-31,600066.SH,汽车制造,-0.305907
2018-09-28,600066.SH,汽车制造,-0.029190
2018-08-31,600066.SH,汽车制造,-0.097994
2018-07-31,600066.SH,汽车制造,-0.097793
2018-06-29,600066.SH,汽车制造,-0.132700
2018-05-31,600066.SH,汽车制造,0.073900
2018-04-27,600066.SH,汽车制造,-0.084700
2018-03-30,600066.SH,汽车制造,-0.035000
2018-02-28,600066.SH,汽车制造,0.059000
2018-01-31,600066.SH,汽车制造,-0.090200
2017-12-29,600066.SH,汽车制造,0.014600
2017-11-30,600066.SH,汽车制造,-0.061000
2017-10-31,600066.SH,汽车制造,0.037700
2017-09-29,600066.SH,汽车制造,0.172300
2017-08-31,600066.SH,汽车制造,-0.060500
2017-07-31,600066.SH,汽车制造,0.008400
2017-06-30,600066.SH,汽车制造,0.122500
2017-05-31,600066.SH,汽车制造,0.013800
2017-04-28,600066.SH,汽车制造,-0.062900
2017-03-31,600066.SH,汽车制造,0.057300
2017-02-28,600066.SH,汽车制造,0.003400
2017-01-26,600066.SH,汽车制造,0.034400
2016-12-30,600066.SH,汽车制造,-0.070500
2016-11-30,600066.SH,汽车制造,-0.022300
2016-10-31,600066.SH,汽车制造,-0.022600
2016-09-30,600066.SH,汽车制造,0.020600
2016-08-31,600066.SH,汽车制造,-0.057500
2016-07-29,600066.SH,汽车制造,0.151400
2016-06-30,600066.SH,汽车制造,0.010900
2016-05-31,600066.SH,汽车制造,0.028100
2016-04-29,600066.SH,汽车制造,0.058700
2016-03-31,600066.SH,汽车制造,0.027400
2016-02-29,600066.SH,汽车制造,0.016300
2016-01-29,600066.SH,汽车制造,-0.175900
2015-12-31,600066.SH,汽车制造,0.068600
2015-11-30,600066.SH,汽车制造,-0.035600
2015-10-30,600066.SH,汽车制造,0.160000
2015-09-30,600066.SH,汽车制造,0.009000
2015-08-31,600066.SH,汽车制造,-0.011300
2015-07-31,600066.SH,汽车制造,-0.035400
2015-06-30,600066.SH,汽车制造,-0.087700
2015-05-29,600066.SH,汽车制造,0.152400
2015-04-30,600066.SH,汽车制造,0.039000
2015-03-31,600066.SH,汽车制造,0.070000
2015-02-27,600066.SH,汽车制造,0.087800
2015-01-30,600066.SH,汽车制造,0.148200
2014-12-31,600066.SH,汽车制造,0.188300
2014-11-28,600066.SH,汽车制造,0.005000
2014-10-31,600066.SH,汽车制造,0.021300
2014-09-30,600066.SH,汽车制造,-0.006500
2014-08-29,600066.SH,汽车制造,-0.006200
2014-07-31,600066.SH,汽车制造,0.144000
2014-06-30,600066.SH,汽车制造,0.042300
2014-05-30,600066.SH,汽车制造,-0.047700
2014-03-31,600066.SH,汽车制造,-0.112400
2014-02-28,600066.SH,汽车制造,0.015800
2019-02-28,600068.SH,建筑建材,0.141908
2019-01-31,600068.SH,建筑建材,-0.022908
2018-12-28,600068.SH,建筑建材,-0.010130
2018-11-30,600068.SH,建筑建材,0.002451
2018-10-31,600068.SH,建筑建材,-0.122125
2018-09-28,600068.SH,建筑建材,0.032616
2018-08-31,600068.SH,建筑建材,-0.092822
2018-07-31,600068.SH,建筑建材,0.089508
2018-06-29,600068.SH,建筑建材,-0.017500
2018-05-31,600068.SH,建筑建材,-0.074000
2018-04-27,600068.SH,建筑建材,-0.058400
2018-03-30,600068.SH,建筑建材,-0.074000
2018-02-28,600068.SH,建筑建材,0.004700
